itemset,rule,hypothesis,conclusion,frequency,confidence,lift,interest,rule ID
"[1, 50]",[1]-->[50],[1],[50],0.11,0.5238095238095238,1.8062397372742203,-0.18,1
"[50, 110]",[110]-->[50],[110],[50],0.15,0.5357142857142857,1.8472906403940887,-0.13999999999999999,2
"[50, 457]",[457]-->[50],[457],[50],0.13,0.5,1.7241379310344829,-0.15999999999999998,3
"[110, 457]",[457]-->[110],[457],[110],0.15,0.5769230769230769,2.0604395604395602,-0.13000000000000003,4
"[260, 457]",[457]-->[260],[457],[260],0.13,0.5,1.3513513513513513,-0.24,5
"[356, 457]",[457]-->[356],[457],[356],0.14,0.5384615384615385,1.3133208255159476,-0.26999999999999996,6
"[110, 480]",[480]-->[110],[480],[110],0.14,0.6363636363636365,2.272727272727273,-0.14,7
"[260, 480]",[480]-->[260],[480],[260],0.11,0.5,1.3513513513513513,-0.26,8
"[356, 480]",[480]-->[356],[480],[356],0.15,0.6818181818181818,1.662971175166297,-0.26,9
"[457, 480]",[480]-->[457],[480],[457],0.12,0.5454545454545454,2.0979020979020975,-0.14,10
"[50, 527]",[527]-->[50],[527],[50],0.17,0.5862068965517242,2.0214030915576697,-0.11999999999999997,11
"[110, 527]",[527]-->[110],[527],[110],0.15,0.5172413793103449,1.8472906403940885,-0.13000000000000003,12
"[260, 527]",[527]-->[260],[527],[260],0.16,0.5517241379310346,1.491146318732526,-0.21,13
"[356, 527]",[527]-->[356],[527],[356],0.15,0.5172413793103449,1.261564339781329,-0.26,14
"[50, 590]",[590]-->[50],[590],[50],0.13,0.5,1.7241379310344829,-0.15999999999999998,15
"[110, 590]",[590]-->[110],[590],[110],0.16,0.6153846153846154,2.1978021978021975,-0.12000000000000002,16
"[356, 590]",[590]-->[356],[590],[356],0.18,0.6923076923076923,1.6885553470919326,-0.22999999999999998,17
"[457, 590]",[590]-->[457],[590],[457],0.14,0.5384615384615385,2.0710059171597637,-0.12,18
"[50, 592]",[592]-->[50],[592],[50],0.1,0.5882352941176471,2.028397565922921,-0.18999999999999997,19
"[50, 593]",[593]-->[50],[593],[50],0.2,0.5555555555555556,1.9157088122605366,-0.08999999999999997,20
"[110, 593]",[593]-->[110],[593],[110],0.18,0.5,1.7857142857142856,-0.10000000000000003,21
"[260, 593]",[593]-->[260],[593],[260],0.18,0.5,1.3513513513513513,-0.19,22
"[356, 593]",[593]-->[356],[593],[356],0.23,0.638888888888889,1.5582655826558267,-0.17999999999999997,23
"[50, 608]",[608]-->[50],[608],[50],0.11,0.5238095238095238,1.8062397372742203,-0.18,24
"[260, 608]",[608]-->[260],[608],[260],0.12,0.5714285714285714,1.5444015444015444,-0.25,25
